x,y,z,yaw,velocity,change_flag
-15105.6094,-84895.3203,36.4579,-2.2774,27.8875,0
-15106.5381,-84896.4062,36.4212,-2.2782,25.9763,0
-15107.4951,-84897.5000,36.3755,-2.2794,25.9206,0
-15108.4102,-84898.5469,36.3460,-2.2794,25.2545,0
-15109.3242,-84899.6016,36.3091,-2.2785,24.7790,0
-15110.2148,-84900.6172,36.2765,-2.2777,24.5422,0
-15111.0918,-84901.6250,36.2438,-2.2772,23.9618,0
-15111.9404,-84902.6094,36.1884,-2.2769,23.1654,0
-15112.7930,-84903.6016,36.1633,-2.2772,22.8324,0
-15113.6221,-84904.5625,36.1403,-2.2774,22.8574,0
-15114.4229,-84905.4922,36.0986,-2.2780,21.6784,0
-15115.1963,-84906.3828,36.0769,-2.2777,20.4521,0
-15115.9795,-84907.2969,36.0560,-2.2779,21.4389,0
-15116.7471,-84908.1797,36.0221,-2.2774,21.1621,0
-15117.4893,-84909.0391,35.9891,-2.2766,20.7484,0
-15118.2646,-84909.9375,35.9555,-2.2761,21.0880,0
-15119.0342,-84910.8359,35.9257,-2.2749,21.2242,0
-15119.7998,-84911.7266,35.8830,-2.2753,20.7453,0
-15120.5811,-84912.6328,35.8631,-2.2754,22.5740,0
-15121.3340,-84913.5156,35.8400,-2.2753,21.2357,0
-15122.1113,-84914.4297,35.8098,-2.2749,21.5693,0
-15122.9199,-84915.3516,35.7680,-2.2750,21.9639,0
-15123.7148,-84916.2656,35.7544,-2.2751,21.2401,0
-15124.5283,-84917.2266,35.7147,-2.2748,23.7130,0
-15125.3145,-84918.1484,35.6832,-2.2724,22.6285,0
-15126.1426,-84919.1250,35.6437,-2.2729,22.9655,0
-15127.0039,-84920.1328,35.6165,-2.2729,24.6093,0
-15127.8359,-84921.0938,35.5868,-2.2734,22.4571,0
-15128.6855,-84922.0859,35.5507,-2.2736,24.6681,0
-15129.5391,-84923.0625,35.5122,-2.2740,22.7903,0
-15130.4365,-84924.0938,35.4889,-2.2732,24.0126,0
-15131.3506,-84925.1641,35.4514,-2.2724,27.1227,0
-15132.2246,-84926.1953,35.4324,-2.2737,22.9618,0
-15133.1846,-84927.3203,35.3808,-2.2748,25.4382,0
-15134.0781,-84928.3828,35.3620,-2.2752,26.3984,0
-15135.0098,-84929.4453,35.3353,-2.2755,25.7780,0
-15135.9219,-84930.5156,35.2955,-2.2747,24.9062,0
-15136.9258,-84931.6641,35.2786,-2.2755,27.2540,0
-15137.8809,-84932.7969,35.2360,-2.2761,28.1149,0
-15138.8857,-84933.9609,35.1753,-2.2766,27.1375,0
-15139.8975,-84935.1250,35.1314,-2.2769,25.9552,0
-15140.8965,-84936.2891,35.0903,-2.2776,27.8242,0
-15141.9395,-84937.5000,35.0555,-2.2783,28.5046,0
-15142.9395,-84938.6719,35.0318,-2.2785,28.9633,0
-15143.9268,-84939.8125,34.9839,-2.2760,27.6623,0
-15145.0098,-84941.0781,34.9528,-2.2751,29.4945,0
-15146.0479,-84942.2656,34.9155,-2.2735,27.3163,0
-15147.0635,-84943.4531,34.8766,-2.2728,28.5133,0
-15148.1318,-84944.7109,34.8299,-2.2731,28.2116,0
-15149.1768,-84945.9219,34.7976,-2.2741,29.4097,0
-15150.2188,-84947.1250,34.7576,-2.2742,28.3845,0
-15151.2520,-84948.3203,34.7123,-2.2744,28.7707,0
-15152.2998,-84949.5391,34.6769,-2.2752,27.8727,0
-15153.2949,-84950.7031,34.6335,-2.2759,27.9129,0
-15154.3223,-84951.8906,34.5991,-2.2761,28.4411,0
-15155.3047,-84953.0234,34.5586,-2.2771,27.8858,0
-15156.3164,-84954.2188,34.5328,-2.2764,28.5145,0
-15157.3438,-84955.4062,34.4947,-2.2742,27.4434,0
-15158.3223,-84956.5469,34.4537,-2.2733,26.4188,0
